zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
35218,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35219,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35214,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35215,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35216,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35210,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35211,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35212,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35213,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35056,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35052,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35051,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35584,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35586,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35580,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35581,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36773,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35294,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35295,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35297,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35290,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35292,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35293,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35298,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36031,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36032,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36541,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36543,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36544,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35471,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35473,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35474,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35475,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35476,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35477,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35478,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36660,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36663,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35587,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36460,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36461,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35224,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35226,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35221,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35220,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35223,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35222,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35229,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35228,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36141,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36140,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36142,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36786,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36784,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36370,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36371,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36376,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36590,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35023,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35022,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36702,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36701,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36066,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36067,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36064,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36068,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35180,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35181,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35182,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35184,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35185,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35186,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35187,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
36512,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35449,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35448,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35441,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35440,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35442,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35444,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
35447,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294,0.059771895,0.115989431
